key,frequency,latitude,longitude,name
1000002,82,-3.55,-56.683,South America
1000062,468,47.3333,13.3333,Austria
1000070,3292,46,2,france
1000080,591,42.8333,12.8333,italia
1000095,764,40,-4,espana
1000120,108,36,138,nihon
1000140,59,35,38,suriyah
1000144,123,39,35,Turkiye
1001893,1404,19.333333,-99.5,"Mexico, Mexico, North and Central America"
1002171,2,40.75,-80.5,"Beaver County, Pennsylvania"
1002751,9,41.4167,-74.3167,"Orange, New York, United States"
1003127,6,49.833333,8.666667,Hessen
1005273,55,-34.6,-58.4167,"Once,Buenos Aires,Distrito Federal,Argentina,South America"
1011081,59,46.6667,-53.0667,"Cape Race,Newfoundland,Newfoundland,Canada,North and Central America"
1047611,193,51.433333,5.983333,"America, Limburg, Nederland"
1121283,158,37.4,-78.8167,"appomattox, virginia, united states"
1122470,38,31.55,-92.9667,"Cane, Natchitoches, Louisiana"
1126952,39,38.1,-77.4333,Queen Court House
1129490,31,34.95,-82.5167,"Williamsburg, Williamsburg, Virginia"
1132269,327,38.5167,-77.6,"Washington, District of Columbia, United States"
2001538,5,34.9667,-78.4,"sampson, north carolina, united states"
2002155,259,38.5,-77.9667,"Culpeper, Virginia, United States"
2002161,424,39.2167,-78.25,"frederick, frederick, maryland,Frederick,Maryland,United States,North and Central America;frederick, virginia, united states,Virginia,United States,North and Central America;Fredericktown, Cecil, Maryland,Cecil,Maryland,United States,North and Central America"
2002163,506,37.7333,-77.9167,"goochland, virginia, united states"
2002176,172,37.1333,-78.0667,"Petersburg, Petersburg, Virginia"
2002181,333,37.5667,-77.9167,"Powhatan, Virginia, United States"
2002183,31,37.0667,-80.7167,"Pulaski, Virginia, United States"
2002186,321,37.8,-79.4333,"fauquier, virginia, united states"
2004967,46,31.0167,-87.1667,"pollard, escambia, alabama"
2009298,10,36.0667,-91.1167,"powhatan, virginia, united states,Virginia,United States,North and Central America;powhatan, powhatan, virginia,Powhatan,Virginia,United States,North and Central America;powhatan, lawrence, arkansas,Lawrence,Arkansas,United States,North and Central America"
2015921,1,39.4667,-105,"Louviers, Douglas, Colorado"
2016870,1,41.95,-73.35,"Falls Village, Litchfield, Connecticut"
2016998,3,41.65,-72.35,"hebron, tolland, connecticut,Tolland,Connecticut,United States,North and Central America;hebron, grafton, new hampshire,Grafton,New Hampshire,United States,North and Central America"
2017887,3,38.6833,-75.3833,"Georgetown, Sussex, Delaware"
2022620,401,34.7667,-84.9667,"Lynchburg, Lynchburg, Virginia"
2024102,633,34.25,-85.15,"Rome, Floyd, Georgia"
2026331,442,37.1333,-89.1167,"America, Pulaski, Illinois"
2031147,23,41.2833,-86.1,"bourbon, indiana,Marshall,Indiana,United States,North and Central America;reunion,Reunion,Africa"
2032394,91,38.2667,-85.7333,"Rock Island, Rock Island, Illinois"
2032953,13,39.8167,-85.9,"Mount Comfort, Hancock, Indiana"
2034574,1,41.25,-95.85,"Council Bluffs, Pottawattamie, Iowa"
2038271,552,36.75,-89.1,"indianapolis, marion, indiana"
2040685,122,38.2,-84.25,"Paris, Bourbon, Kentucky"
2047202,31,39.35,-75.8833,"frederick, frederick, maryland,Frederick,Maryland,United States,North and Central America;frederick, virginia, united states,Virginia,United States,North and Central America;Fredericktown, Cecil, Maryland,Cecil,Maryland,United States,North and Central America"
2047838,5,39.4,-76.3167,"Magnolia, Harford, Maryland"
2050041,115,42.5833,-71.7167,"York, York, Pennsylvania"
2050698,4,42.4333,-71.75,"Sterling, Worcester, Massachusetts"
2058264,3,39.8667,-93.8167,"Carlow, Daviess, Missouri"
2063495,3,43.6833,-71.8,"hebron, tolland, connecticut,Tolland,Connecticut,United States,North and Central America;hebron, grafton, new hampshire,Grafton,New Hampshire,United States,North and Central America"
2065747,107,40.7667,-74.2167,"Orange, Essex, New Jersey"
2066057,50,40.9,-74.5,"richmond, richmond, virginia"
2067814,25,42.9333,-74.1833,"Amsterdam, Montgomery, New York"
2069428,29,41.4,-74.3167,"Goshen, Orange, New York"
2070618,339,42.3333,-76.8333,"Montour Falls, Schuyler, New York"
2071529,25,42.1,-76.25,"owego, tioga, new york"
2074494,258,36.3,-76.2167,"Elizabeth City, Pasquotank, North Carolina"
2076159,195,35.8667,-76.7333,"Plymouth, Washington, North Carolina"
2076606,4,35.2833,-81.5333,"Shelby, Cleveland, North Carolina"
2081887,149,40.2833,-84.15,"Sidney, Shelby, Ohio"
2082741,48,40.3333,-83.6667,"Saint Louis, Saint Louis City, Missouri"
2086267,134,40.0167,-78.5,"Bedford, Bedford, Pennsylvania"
2088314,4,39.9333,-79.8333,"Fairbank, Fayette, Pennsylvania"
2089058,182,39.8,-76.9833,"Hanover, York, Pennsylvania"
2095563,7,32.8833,-80.3167,"Clubhouse Crossroads, Dorchester, South Carolina"
2098810,47,35.5167,-89,"Denmark, Madison, Tennessee"
2099329,58,35.0333,-89.1833,"christiansburg, montgomery, virginia"
2099435,56,35.0833,-88.3,"Hamburg, Hardin, Tennessee"
2099733,201,35.6,-88.8,"Jackson, Madison, Tennessee"
2099865,31,35.8667,-84.5,"Kingston, Roane, Tennessee"
2100842,190,35.3,-86.95,"Odd Fellows Hall, Giles, Tennessee"
2110319,266,37.3333,-77.9667,"Amelia Court House, Amelia, Virginia"
2110785,193,36.5833,-82.1833,"Lewisburg, Greenbrier, West Virginia"
2110813,59,38.6,-78.7833,"broadway, rockingham, virginia"
2111185,158,37.1167,-80.4,"Lexington, Lexington, Virginia"
2111189,38,37.3833,-77.9,Mattoax Depot
2111202,41,36.6167,-78.55,"Clarksville, Mecklenburg, Virginia"
2111953,125,37.25,-76.4833,"Gloucester Point, Gloucester, Virginia"
2111971,668,38.1333,-78.1833,"gordonsville, orange, virginia"
2112076,245,36.75,-78.9167,"Halifax, Halifax, Virginia"
2112443,3,37.2167,-78.1333,"Jennings Ordinary, Nottoway, Virginia"
2113024,29,37.9667,-79.6,"Lexington, Lexington, Virginia"
2113771,14,37.5333,-77.9167,"powhatan, virginia, united states,Virginia,United States,North and Central America;powhatan, powhatan, virginia,Powhatan,Virginia,United States,North and Central America;powhatan, lawrence, arkansas,Lawrence,Arkansas,United States,North and Central America"
2114436,577,36.7167,-76.5833,"Suffolk, Suffolk, Virginia"
2114538,25,37.5667,-76.9,"Sweet Hall, King William, Virginia"
2114705,65,37.6333,-76.5667,Gloucester Court House
2114749,270,38.9,-77.25,"Vienna, Fairfax, Virginia"
2114939,104,38.0667,-78.8833,"Staunton, Staunton, Virginia"
2115169,1001,37.2333,-76.5,"Yorktown, York, Virginia"
2117422,109,39.6167,-78.2167,"Berkeley Springs, Morgan, West Virginia"
2117441,187,38.8333,-79.8667,"Beverly, Randolph, West Virginia"
2118933,268,37.8,-80.4333,Jackson's River
2119163,78,37.85,-80.85,"meadow bridge, fayette, west virginia"
2119219,14,38.15,-80.1667,"mill point, pocahontas, west virginia"
2239449,51,37.5333,-77.4,Bellevue Hospital
2244266,29,35.3833,-87.9833,"Clifton, Wayne, Tennessee"
2308580,1872,36.1667,-86.75,"Salem, Essex, Massachusetts"
2374405,12,37.05,-76.3167,"Hampton, Hampton, Virginia"
2412426,19,38.3667,-77.7833,"Indian Town, Orange, Virginia"
2437586,26,37.6667,-76.8667,"King And Queen Court House, King and Queen, Virginia"
2510683,127,42.6333,-71.3333,"Richmond, Richmond, Virginia"
2554491,26,39.4667,-78.25,"Old Point, Dare, North Carolina"
2557597,641,35.6833,-75.7167,"Old Point, Dare, North Carolina"
2625188,636,37.5167,-77.3833,"Rocketts, Henrico, Virginia"
2705250,15,41.6667,-74.8667,"Lake Superior, Sullivan, New York"
2746552,3,34.25,-78.5167,"waccamaw river, united states, north and central america"
6002050,450,0,0,"fort fisher, new hanover, north carolina"
7001242,494,2.383,16.066,africa
7001680,24,-21.0833,55.5833,"bourbon, indiana,Marshall,Indiana,United States,North and Central America;reunion,Reunion,Africa"
7001923,20,-33.861481,151.205475,"sydney,cape breton island,nova scotia,canada,north and central america,Cape Breton Island,Nova Scotia,Canada,North and Central America;sydney,new south wales,australia,oceania,New South Wales,Australia,Oceania"
7002443,264,52.5,-3.5,"Wales, United Kingdom, Europe"
7002444,160,57,-4,scotland
7002445,6466,53,-2,united kingdom
7002980,672,48.866667,2.333333,"Department de Ville de Paris, Ile-de-France, France"
7003122,68,37.5,14,sicilia
7003685,20,52.8333,10,saxony
7003695,69,-7.491667,110.004444,jawa
7004446,14,50.933333,6.95,"koln,koln,nordrhein-westfalen,deutschland,europe"
7004474,219,40.833333,14.25,"napoli,napoli,campania,italia,europe"
7004550,209,0,0,West Indies
7004643,90,18.2333,-66.55,Puerto Rico
7005064,144,0,0,bermuda
7005388,147,19,-70.6667,Cape Canso
7005560,258,23,-102,"Mexico,North and Central America"
7005599,121,19.333333,-96.666667,"Veracruz, Mexico, North and Central America"
7005685,915,60,-96,Canada
7005688,81,45.05,7.666667,"torino,torino,piemonte,italia,europe"
7007110,21,20.666667,-103.333333,"Guadalajara, Jalisco, Mexico"
7007567,300,40.7,-74,"Aquia Creek, Virginia, United States"
7007568,243,43,-75,"Petersburg, Petersburg, Virginia"
7007708,177,44,-120,Oregon
7007826,1822,30,-100,Texas
7007827,136,40,-110,"Utah, United States, North and Central America"
7008131,55,51.5833,.55,"Essex, England, United Kingdom"
7008211,46,49.639971,-1.615505,"cherbourg,manche,basse-normandie,france,europe"
7008781,58,43.285413,5.37606,"Marseille, Bouches-du-Rhone, Provence-Alpes-Cote d'Azur"
7011385,158,50.9,-1.4,"Southampton,Hampshire,England,United Kingdom,Europe"
7011781,1277,51.514248,-.093145,"London, Greater London, England"
7012924,175,39.7667,-86.15,"Cairo Junction, Alexander, Illinois"
7013046,291,44.6333,-63.5833,"Nottoway, Virginia, United States"
7013174,20,46.1667,-60.1667,"sydney,cape breton island,nova scotia,canada,north and central america,Cape Breton Island,Nova Scotia,Canada,North and Central America;sydney,new south wales,australia,oceania,New South Wales,Australia,Oceania"
7013266,274,42.65,-73.75,"Albany, Albany, New York"
7013284,116,43.7,-79.4167,"toronto,toronto metropolitan area,ontario,canada,north and central america"
7013331,1466,33.7333,-84.3833,"Atlanta, Fulton, Georgia"
7013463,197,42.8833,-78.8667,"Buffalo, Erie, New York"
7013516,115,39.8333,-88.95,"Newark, Essex, New Jersey"
7013537,26,40.7833,-81.3667,"Knoxville, Knox, Tennessee"
7013547,169,42.3167,-83.0333,"Detroit, Wayne, Michigan"
7013584,415,35.2167,-80.8333,"Charlotte, Mecklenburg, North Carolina"
7013596,584,41.85,-87.65,"chicago, cook, illinois"
7013641,901,34,-81.0333,"Columbia, Richland, South Carolina"
7013687,586,37.0167,-76.3333,"Oakland, Morgan, West Virginia"
7013694,354,40.2667,-76.8833,"Harrisburg, Dauphin, Pennsylvania"
7013813,99,40.7167,-74.0667,"Jersey City, Hudson, New Jersey"
7013830,43,41.15,-81.35,"Kent, Portage, Ohio"
7013841,1004,35.95,-83.9167,"Winchester, Winchester, Virginia"
7013889,584,37.7833,-79.4333,"Staunton, Staunton, Virginia"
7013915,1003,38.25,-85.75,"Decatur, Macon, Illinois"
7013927,235,40.4333,-79.9833,"Louisville, Jefferson, Kentucky"
7013947,105,44.9333,-93.0833,"saint paul, ramsey, minnesota"
7013949,870,35.7667,-78.6333,"Raleigh, Wake, North Carolina"
7013960,32,40.75,-111.8833,"Salt Lake City, Salt Lake, Utah"
7013980,445,32.8333,-83.6167,"Macon, Bibb, Georgia"
7014071,73,43.0333,-87.9,"Milwaukee, Milwaukee, Wisconsin"
7014073,70,42.6,-70.65,"Gloucester, Essex, Massachusetts"
7014143,83,34.85,-82.3833,"Greenville, Greenville, South Carolina"
7014175,482,35.8333,-86.3833,James Brooks
7014197,591,35.1,-77.0333,Pea Creek Mountain
7014218,140,40.7333,-74.1667,"vincennes, knox, indiana"
7014229,105,43.0833,-79.05,"Niagara Falls, Niagara, New York"
7014278,893,36.8333,-76.2833,"Portsmouth, Portsmouth, Virginia"
7014298,1,40.2333,-111.65,"provo, utah, utah"
7014317,58,43.45,-76.5,"Oswego, Oswego, New York"
7014343,158,37.2667,-79.9333,"Roanoke, Roanoke, Virginia"
7014353,57,41.5,-90.5667,"zanesfield, logan, ohio"
7014404,4036,37.2167,-77.4,"Petersburg, Petersburg, Virginia"
7014447,208,42.5167,-70.8833,","
7014453,84,29.4167,-98.4833,"San Antonio, Bexar, Texas"
7014538,1206,38.1333,-79.0667,Jackson's River
7014629,744,37.2667,-76.7,"richmond, richmond, virginia"
7014647,54,42.25,-71.8,"Worcester, Worcester, Massachusetts"
7014650,121,39.95,-76.7167,"Richmond, Richmond, Virginia"
7016129,643,32.2833,-90.1833,"richmond, richmond, virginia"
7016341,4,40.0167,-79.8833,"Brownsville, Fayette, Pennsylvania"
7016739,43,10,-80,Central America
7016786,295,0,0,Prussia
7016855,195,39.4,-77.4,"frederick, frederick, maryland,Frederick,Maryland,United States,North and Central America;frederick, virginia, united states,Virginia,United States,North and Central America;Fredericktown, Cecil, Maryland,Cecil,Maryland,United States,North and Central America"
7017623,301,37.5167,-76.7833,"york, virginia, united states"
7017708,1577,39.1833,-78.15,Jackson's River
7018808,47,38.6667,-87.5167,"Ashland, Hanover, Virginia"
7018871,45,47.4667,-121.8167,"King, Washington, United States"
7018995,630,37.0333,-89.1833,"jeffersonville, clark, indiana"
7022201,81,0,0,"Norfolk County, Virginia"
1000047,96,-10,-55,"brazil, clay, indiana,Clay,Indiana,United States,North and Central America;brasil,South America"
1000088,19,62,10,"Norge, Europe, "
1002232,2,39.15,-74.7833,"Cape May, New Jersey, United States"
1002450,44,52.5,9,Hannover
1014096,16,47.0167,-65.6,"America City, Nemaha, Kansas"
1014946,1,43.9667,-80.7333,"mount forest, ontario"
1042730,145,51.857222,-8.299167,"queenstown, queen annes, maryland,Queen Annes,Maryland,United States,North and Central America;cobh,cork,munster,eire,europe,Cork,Munster,Eire,Europe"
1131032,13,32.7833,-96.8667,"Trinity, Texas, United States"
2000511,6,41.35,-90.15,Bishop's Hill
2000758,1,39.1167,-95.9833,"Wabaunsee, Kansas, United States"
2001386,2,41.55,-97.4833,"Platte, Nebraska, United States"
2002137,417,38.0333,-78.55,Cobham Depot
2002144,284,37.3,-79.5667,"Halifax, Nova Scotia, Canada"
2002177,175,38.25,-78.0333,"Orange, Virginia, United States"
2003105,35,31.5333,-87.5,"Plank, Tioga, Pennsylvania"
2015806,5,40.9833,-102.25,"julesburg, sedgwick, colorado"
2018180,11,39.2833,-75.6,"Smyrna, Kent, Delaware"
2031163,98,39.5167,-87.1167,"brazil, clay, indiana,Clay,Indiana,United States,North and Central America;brasil,South America"
2032714,6,38.7333,-85.3667,"Madison, Jefferson, Indiana"
2035171,3,41.6833,-95.8667,"Magnolia, Harrison, Iowa"
2035654,3,40.7333,-95.6333,"Sidney, Fremont, Iowa"
2036674,43,39.3,-94.9167,"Leavenworth, Leavenworth, Kansas"
2036684,5,39.0333,-95.3833,"lecompton, douglas, kansas"
2039056,6,38.7333,-85.05,"ghent, columbia, new york,Columbia,New York,United States,North and Central America;ghent, carroll, kentucky,Carroll,Kentucky,United States,North and Central America;gent,oost-vlaanderen,vlaanderen,belgie,europe,Oost-Vlaanderen,Vlaanderen,Belgie,Europe"
2040481,76,38.4333,-85.1667,"America City, Nemaha, Kansas"
2045209,17,44.0333,-69.5333,"America City, Nemaha, Kansas"
2048396,169,38.9833,-76.15,"queenstown, queen annes, maryland,Queen Annes,Maryland,United States,North and Central America;cobh,cork,munster,eire,europe,Cork,Munster,Eire,Europe"
2049614,53,42.1,-71.35,"City Mills, Norfolk, Massachusetts"
2049616,1,42.4167,-71.6833,"Clinton, Worcester, Massachusetts"
2049994,13,42.7,-71.15,"Lawrence, Essex, Massachusetts"
2056100,91,32.6,-90.0333,"Dalton, Whitfield, Georgia"
2063314,19,43.3667,-72.3333,"Claremont, Sullivan, New Hampshire"
2063568,27,42.85,-71.3667,"Londonderry, Rockingham, New Hampshire"
2069379,7,42.3167,-73.6,"ghent, columbia, new york,Columbia,New York,United States,North and Central America;ghent, carroll, kentucky,Carroll,Kentucky,United States,North and Central America;gent,oost-vlaanderen,vlaanderen,belgie,europe,Oost-Vlaanderen,Vlaanderen,Belgie,Europe"
2073970,52,35.7833,-78.7667,Rio Coffee
2091396,2,42.2,-79.8333,"north east, pennsylvania"
2092056,80,41.5667,-77.2333,"Plank, Tioga, Pennsylvania"
2095935,22,33.4667,-81.95,"Hamburg, Aiken, South Carolina"
2107154,12,26.3667,-98.8167,"rio grande city, starr, texas,Starr,Texas,United States,North and Central America;rio grande, dona ana county, new mexico,Dona Ana county,New Mexico,United States,North and Central America"
2110227,119,37.7167,-75.65,"Chesterfield, Chesterfield, Virginia"
2112197,7,37.95,-79.85,"healing springs, bath, virginia"
2112748,111,38.0167,-78,"Louisa, Louisa, Virginia"
2113687,68,38.3833,-78.8833,"Alexandria, Alexandria, Virginia"
2131963,74,39.5667,-96.0167,"America City, Nemaha, Kansas"
2193392,53,44,-69.4167,"bremen,bremen,deutschland,europe,Bremen,Deutschland,Europe;bremen, lincoln, maine,Lincoln,Maine,United States,North and Central America"
2194039,79,34.2667,-82.3167,"brick house, abbeville, south carolina"
2249697,9,39.2833,-76.5167,"Colgate, Baltimore, Maryland"
2524525,3,38.8333,-77.8667,"Morgantown, Fauquier, Virginia"
2525074,549,32.7,-79.8833,"morris island, charleston, south carolina"
2604119,19,41.7,-71.15,"Fall River, Bristol, Massachusetts"
2619823,4,0,0,"rio grande city, starr, texas,Starr,Texas,United States,North and Central America;rio grande, dona ana county, new mexico,Dona Ana county,New Mexico,United States,North and Central America"
2623271,7,36.5,-86.3833,"Rock Bridge, Sumner, Tennessee"
2637157,4,35.2667,-90.5833,"saint francis, cross, arkansas"
2660350,63,36.8,-79.3,"Shockoe Creek, Pittsylvania, Virginia"
2738822,26,33.7167,-112.05,"Union Hills, Maricopa, Arizona"
6004345,3,22,34,nubia
7000198,361,20,77,"calcutta,west bengal,bharat,asia"
7001314,42,36.783,3.05,"alger,el djazair,al-jaza'ir,africa"
7001523,52,0,0,"chennai,tamil nadu,bharat,asia"
7001562,14,13.083333,80.283333,Commercial wharf
7002830,7,36.8,-4.75,sicilia
7005286,64,53.083333,8.8,"bremen,bremen,deutschland,europe,Bremen,Deutschland,Europe;bremen, lincoln, maine,Lincoln,Maine,United States,North and Central America"
7005380,170,21.5,-80,English Island
7006453,207,23.1167,-82.35,"La Habana, Ciudad de la Habana, Cuba"
7007251,832,40,-89,Illinois
7007254,503,38.6667,-98,Kansas
7007515,386,45,-69,Maine
7007521,161,46,-94,Minnesota
7007887,11,51.05,3.716667,"ghent, columbia, new york,Columbia,New York,United States,North and Central America;ghent, carroll, kentucky,Carroll,Kentucky,United States,North and Central America;gent,oost-vlaanderen,vlaanderen,belgie,europe,Oost-Vlaanderen,Vlaanderen,Belgie,Europe"
7007922,242,45,-90,Wisconsin
7008546,40,44.416667,8.95,"genova,genova,liguria,italia,europe"
7008769,14,39.466667,-.366667,"valencia,valencia,valencia,espana,europe"
7010477,267,53.5,-2.216667,"Manchester, Manchester, England"
7011197,7,51.379444,-2.365556,"Bath, Bath and Northeast Somerset, England"
7011731,67,47,8,switzerland
7012288,119,51.5,-.416667,"Richmond, Richmond, Virginia"
7013082,2,44.05,-79.45,"Newmarket, Ontario, Canada"
7013575,15,42.2833,-71.0667,"Dorchester, Boston, Suffolk"
7013620,12,42.5,-90.65,"Dubuque, Iowa"
7013887,187,38.0333,-84.5,"Lexington, Fayette, Kentucky"
7013951,86,40.2167,-74.7333,"Trenton, Mercer, New Jersey"
7014170,147,37.3,-78.3833,"farmville, prince edward, virginia"
7014203,890,0,0,malaga
7014247,5,0,0,"notre dame, saint joseph, indiana"
7014272,170,43.65,-70.25,"Portland, Cumberland, Maine"
7014443,57,39.7667,-94.8333,"Saint Joseph, Buchanan, Missouri"
7014508,9,42.5,-96.4,"sioux city, woodbury, iowa"
7016192,1,40.3,-74.5,"Cranbury, Middlesex, New Jersey"
7017095,20,-22.8833,-43.2833,"rio de janeiro,rio de janeiro,sudeste,brasil,south america"
7017496,1325,35.0333,-85.3,"Salem, Essex, Massachusetts"
